stop_id,stop_name,stop_lat,stop_lon
266091,str. Romana (Grigore Ureche),47.0287727,28.8496812
266712,str. Romană,47.032016,28.8427908
286933,str. Valea Apelor,46.956981459489775,28.83744299411774
266454,Romplaneta,46.9621747,28.8347935
265885,Centru Comercial,47.0627795,29.0006511
265943,Primatia Budesti,47.064068,29.0088939
287306,or. Vadul lui Voda Centru,47.08757278656485,29.07989323139191
287313,or. Vadul lui Voda str. TatarBunar,47.09638924864263,29.070956110954288
266903,Şcoala,47.0656234,28.9888929
287311,or. Vadul lui Voda str. Vasile Alexandri,47.09355893624853,29.07356858253479
266691,str. Pandurilor,46.9995011,28.8726092
266920,str. Liviu Deleanu (șos. Balcani),47.0469563,28.7670412
266601,Bd. Cuza-Voda,46.9746195,28.8495027
266231,Coperativul de garaje nr. 13,46.9632946,28.86096
266770,bd. Traian,46.9814212,28.8499512
265875,str. Grenoble,46.9775585,28.8452958
265987,Bd. Cuza-Voda (str. Grenoblea),46.9737949,28.8484686
291465,str. Puhoi,46.956955829201114,28.86493563652039
266230,Coperativul de garaje nr. 13,46.9630693,28.8610529
265870,Hotel Cosmos (Bd. Constantin Negruzzi),47.0136719,28.8538448
266577,str. Dimineții,47.0055724,28.8672402
266068,Gara Feroviara,47.0111314,28.8586766
266604,str. Grădina Botanică,46.981586,28.8980953
266694,str. Paul Gore,46.9858479,28.8912688
266446,sos. Muncești 426,46.9788395,28.9037741
266420,s. Bîc,46.9690679,28.9136166
266766,Strada Băcioii Noi,46.9565782,28.9257141
266576,str. Dimineții,47.0049378,28.8674495
266731,str. Tighina,47.0197718,28.8470755
266733,str. Tomiș,46.9931871,28.8799737
266704,Str. Podul Înalt,47.0248995,28.8759434
266703,Str. Podul Înalt,47.0247157,28.8757306
266546,Str. Burebista,46.9791746,28.8675759
266869,Valea Crucii,46.9773366,28.8705331
281631,Revaca,46.95198698280198,28.929512500762943
281630,Revaca,46.951639109657684,28.929517865180973
266560,Ciocana Veche (str. Colonița),47.0374875,28.9038938
266765,Strada Alexandru Hâjdeu,47.0204126,28.8529655
266756,str. Zelinski,46.9937651,28.8593968
266676,str. N. Titulescu,47.000739,28.8601763
281627,Rascrucea Spre Bacioi,46.95006815961384,28.91437947750092
265819,bd. Decebal,46.9875061,28.8578964
266805,str. Vadul lui Voda (Termocentrala Nr. 1),47.0241899,28.86703
266559,Ciocana Veche (str. Colonița),47.0375604,28.9031936
287292,str. Andrei Izbas,47.040134619750056,28.904240727424625
287291,str. Andrei Izbas,47.04012365242329,28.904503583908085
291756,sat. Cruzesti str. Buna Vestire,47.07815574857011,28.977094888687137
266184,Metro 2  (Institutul de Protectie a Plantelor),46.9649733,28.8901487
265811,Bd. Dacia (Cuza-Voda ),46.983496,28.8615119
281626,str. Ismail 88,47.017943106780365,28.849309086799625
291993,Serghei Lazo,46.88316388526816,28.990423625461464
266519,str. Aeroport,46.9385447,28.9331728
266675,str. N. Titulescu,46.9999508,28.8598097
266067,Gara Feroviara,47.0110807,28.8582041
265820,bd. Dimitrie Cantemir,47.0189164,28.8516557
266755,str. Zelinski,46.9924216,28.8588139
265903,Cartierul „Galata“,46.9421236,28.9264238
266534,str. Bacioii Noi,46.9495358,28.9140064
291967,Unitatea militara,46.93432681892468,28.948153853416446
291970,"or. Sîngera, str. Tineretului",46.91387594434268,28.99104773998261
291985,Ville,46.89626993936806,29.01990658864194
266109,Hotel Cosmos,47.0145921,28.8548825
266868,Valea Crucii,46.9767065,28.8703912
291984,Ville,46.89614555444387,29.020046110114958
266520,str. Aeroport,46.9379672,28.9325745
265816,Bd. Traian,46.9854249,28.8580556
291983,Directia Fabrica de Mucava,46.903761961173466,29.01930021004209
265902,Cartierul „Galata“,46.9417627,28.9263316
265812,bd. Dacia (bd. Cuza Voda),46.9824187,28.8623498
266183,Metro 2 (Institutul de Protectie a Plantelor),46.9642484,28.890468
291980,Fabrica de Mucava,46.90699069983021,29.01700436858151
291981,Fabrica de Mucava,46.90703116800501,29.01727782444486
266292,Piața Decebal,46.9969099,28.859467
